"Country_code","Country","Economic_activity","Total_Supply","Total_Use","Water_Balance","Water_used_percentage","Water_overuse","Country_Total_Supply","Sector_use_percentage"
"BEL","Belgium","Construction",0,4.822848,-4.822848,NA,TRUE,28875.56506,0.0167021770482368
"BEL","Belgium","Mining and quarrying",36.34069,162.525817,-126.185127,447.22820893054,TRUE,28875.56506,0.562848957803217
"BEL","Belgium","Agriculture, forestry and fishing",54.90157,232.525404,-177.623834,423.531429064779,TRUE,28875.56506,0.805267026002226
"BEL","Belgium","Services",347.2687,1094.59982,-747.33112,315.20255640661,TRUE,28875.56506,3.79074770563122
"BEL","Belgium","Sewerage, waste management and remediation",570.9003,2443.6334,-1872.7331,428.031549466693,TRUE,28875.56506,8.46263404689196
"BEL","Belgium","Manufacturing",1037.405,4217.91568,-3180.51068,406.583318954507,TRUE,28875.56506,14.6072143393062
"BEL","Belgium","Electricity, gas, steam and air conditioning supply",0,5210.1066394,-5210.1066394,NA,TRUE,28875.56506,18.0433062645667
"BGR","Bulgaria","Construction",2.14,0.93,1.21,43.4579439252336,FALSE,10917.7,0.00851827765921394
"BGR","Bulgaria","Mining and quarrying",27.82,57.48,-29.66,206.613946800863,TRUE,10917.7,0.526484515969481
"BGR","Bulgaria","Sewerage, waste management and remediation",380.56,491.73,-111.17,129.212213579987,TRUE,10917.7,4.5039706165218
"BGR","Bulgaria","Services",27.09,146.58,-119.49,541.08527131783,TRUE,10917.7,1.34259047235224
"BGR","Bulgaria","Manufacturing",206.21,473.02,-266.81,229.387517579167,TRUE,10917.7,4.33259752511976
"BGR","Bulgaria","Agriculture, forestry and fishing",367.63,653.36,-285.73,177.722166308517,TRUE,10917.7,5.9844106359398
"BGR","Bulgaria","Electricity, gas, steam and air conditioning supply",0,16420.17,-16420.17,NA,TRUE,10917.7,150.399534700532
"DEU","Germany","Services",359.8214,1430.4909,-1070.6695,397.555815190536,TRUE,142889.7884,1.00111485643435
"DEU","Germany","Agriculture, forestry and fishing",430.4972,1785.89503,-1355.39783,414.844749280599,TRUE,142889.7884,1.24984090885532
"DEU","Germany","Construction",1.428047,2040.973288,-2039.545241,142920.596310906,TRUE,142889.7884,1.42835489565327
"DEU","Germany","Mining and quarrying",245.9908,3072.745326,-2826.754526,1249.13018129133,TRUE,142889.7884,2.15043031444506
"DEU","Germany","Manufacturing",3807.365,16423.7884,-12616.4234,431.36889686174,TRUE,142889.7884,11.494025279136
"DEU","Germany","Sewerage, waste management and remediation",4371.463,19929.7,-15558.237,455.904579313607,TRUE,142889.7884,13.9476027105657
"DEU","Germany","Electricity, gas, steam and air conditioning supply",0,16165.85556,-16165.85556,NA,TRUE,142889.7884,11.3135135414617
"DNK","Denmark","Construction",0,0.54,-0.54,NA,TRUE,4369.04,0.012359694578214
"DNK","Denmark","Electricity, gas, steam and air conditioning supply",0,4.74,-4.74,NA,TRUE,4369.04,0.108490652408767
"DNK","Denmark","Mining and quarrying",9.29,37.4,-28.11,402.583423035522,TRUE,4369.04,0.856023291157783
"DNK","Denmark","Services",8.48,108.32,-99.84,1277.35849056604,TRUE,4369.04,2.47926317909655
"DNK","Denmark","Manufacturing",26.76,176.66,-149.9,660.1644245142,TRUE,4369.04,4.04345119293941
"DNK","Denmark","Sewerage, waste management and remediation",358.91,774.24,-415.33,215.719818338859,TRUE,4369.04,17.7210554263637
"DNK","Denmark","Agriculture, forestry and fishing",769.57,2120.1,-1350.53,275.491508244864,TRUE,4369.04,48.5255342134657
"ESP","Spain","Mining and quarrying",0,2.4,-2.4,NA,TRUE,179658.4,0.00133586851491497
"ESP","Spain","Construction",0,20.1,-20.1,NA,TRUE,179658.4,0.0111878988124129
"ESP","Spain","Services",45.2,1498.6,-1453.4,3315.48672566372,TRUE,179658.4,0.834138565188157
"ESP","Spain","Manufacturing",604.2,2569.8,-1965.6,425.3227408143,TRUE,179658.4,1.43038121234521
"ESP","Spain","Sewerage, waste management and remediation",3407.7,13944,-10536.3,409.190949907562,TRUE,179658.4,7.76139607165599
"ESP","Spain","Electricity, gas, steam and air conditioning supply",0,14019.3,-14019.3,NA,TRUE,179658.4,7.80330894631144
"ESP","Spain","Agriculture, forestry and fishing",15650,69515,-53865,444.185303514377,TRUE,179658.4,38.6928749226309
"EST","Estonia","Construction",0.087196,0.283043,-0.195847,324.605486490206,TRUE,5504.33211,0.00514218608804112
"EST","Estonia","Services",1.473786,5.037841,-3.564055,341.829885750034,TRUE,5504.33211,0.0915250188273977
"EST","Estonia","Agriculture, forestry and fishing",4.962507,20.206718,-15.244211,407.187697669746,TRUE,5504.33211,0.367105719571125
"EST","Estonia","Sewerage, waste management and remediation",52.74774,222.40564,-169.6579,421.640130932624,TRUE,5504.33211,4.04055633917772
"EST","Estonia","Manufacturing",56.52785,270.060393,-213.532543,477.747504990903,TRUE,5504.33211,4.9063244659487
"EST","Estonia","Mining and quarrying",0.412871,340.99337,-340.580499,82590.7777489821,TRUE,5504.33211,6.19499992343303
"EST","Estonia","Electricity, gas, steam and air conditioning supply",717.65,1368.682415,-651.032415,190.717259806312,TRUE,5504.33211,24.8655493100325
"FRA","France","Construction",0,6.042574,-6.042574,NA,TRUE,118181.706,0.00511295208414067
"FRA","France","Mining and quarrying",0,141.40445,-141.40445,NA,TRUE,118181.706,0.119650032806262
"FRA","France","Services",0,550.8801,-550.8801,NA,TRUE,118181.706,0.466129757849324
"FRA","France","Manufacturing",0,4261.0999,-4261.0999,NA,TRUE,118181.706,3.60554949172929
"FRA","France","Agriculture, forestry and fishing",0,6366.342,-6366.342,NA,TRUE,118181.706,5.38690988265138
"FRA","France","Sewerage, waste management and remediation",0,15517.824,-15517.824,NA,TRUE,118181.706,13.1304789253931
"FRA","France","Electricity, gas, steam and air conditioning supply",0,681389.303459,-681389.303459,NA,TRUE,118181.706,576.560727139105
"HRV","Croatia","Sewerage, waste management and remediation",240.423,160.735,79.688,66.8550845800943,FALSE,1096.90909,14.6534477164375
"HRV","Croatia","Mining and quarrying",2.065,4.612,-2.547,223.341404358354,TRUE,1096.90909,0.420454169087066
"HRV","Croatia","Construction",0,12.64,-12.64,NA,TRUE,1096.90909,1.15232885890297
"HRV","Croatia","Agriculture, forestry and fishing",30,64,-34,213.333333333333,TRUE,1096.90909,5.83457650077455
"HRV","Croatia","Services",0,43.136,-43.136,NA,TRUE,1096.90909,3.93250456152205
"HRV","Croatia","Manufacturing",53.658,129.91,-76.252,242.107421074211,TRUE,1096.90909,11.8432786439941
"HRV","Croatia","Electricity, gas, steam and air conditioning supply",326.1,45787.59,-45461.49,14040.9659613615,TRUE,1096.90909,4174.23744751719
"LTU","Lithuania","Construction",0.233243,0.561797,-0.328554,240.86339139867,TRUE,2139.148871,0.0262626415401081
"LTU","Lithuania","Mining and quarrying",0.918719,30.161417,-29.242698,3282.98609259197,TRUE,2139.148871,1.40997278912618
"LTU","Lithuania","Services",62.54175,176.151944,-113.610194,281.654964883458,TRUE,2139.148871,8.23467437858372
