STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,FREQ,Frequency of observation,MEASURE,Measure,UNIT_MEASURE,Unit of measure,SUPPLY_USE,Supply and use,VARIABLE,Variable,ACTIVITY,Economic activity,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,UNIT_MULT,Unit multiplier,DECIMALS,Decimals
DATAFLOW,OECD.ENV.EPI:DSD_WATER_PSUT@DF_WATER_PSUT(1.0),Water accounts - supply and use,I,AUS,Australia,A,Annual,SURFACE_GROUND,Surface and grounwater,M3,Cubic metres,USE,Use,SEC,Economic sector,E,"Water supply; sewerage, waste management and remediation activities",1985,,1800,,A,Normal value,6,Millions,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_WATER_PSUT@DF_WATER_PSUT(1.0),Water accounts - supply and use,I,AUS,Australia,A,Annual,SURFACE_GROUND,Surface and grounwater,M3,Cubic metres,USE,Use,SEC,Economic sector,E,"Water supply; sewerage, waste management and remediation activities",1995,,1852,,A,Normal value,6,Millions,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_WATER_PSUT@DF_WATER_PSUT(1.0),Water accounts - supply and use,I,AUS,Australia,A,Annual,SURFACE_GROUND,Surface and grounwater,M3,Cubic metres,USE,Use,SEC,Economic sector,E,"Water supply; sewerage, waste management and remediation activities",1997,,1852.03002929688,,A,Normal value,6,Millions,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_WATER_PSUT@DF_WATER_PSUT(1.0),Water accounts - supply and use,I,AUS,Australia,A,Annual,SURFACE_GROUND,Surface and grounwater,M3,Cubic metres,USE,Use,SEC,Economic sector,E,"Water supply; sewerage, waste management and remediation activities",2001,,2165.19995117188,,A,Normal value,6,Millions,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_WATER_PSUT@DF_WATER_PSUT(1.0),Water accounts - supply and use,I,AUS,Australia,A,Annual,SURFACE_GROUND,Surface and grounwater,M3,Cubic metres,USE,Use,SEC,Economic sector,E,"Water supply; sewerage, waste management and remediation activities",2005,,4523,,A,Normal value,6,Millions,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_WATER_PSUT@DF_WATER_PSUT(1.0),Water accounts - supply and use,I,AUS,Australia,A,Annual,SURFACE_GROUND,Surface and grounwater,M3,Cubic metres,USE,Use,SEC,Economic sector,E,"Water supply; sewerage, waste management and remediation activities",2009,,3214,,A,Normal value,6,Millions,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_WATER_PSUT@DF_WATER_PSUT(1.0),Water accounts - supply and use,I,AUS,Australia,A,Annual,SURFACE_GROUND,Surface and grounwater,M3,Cubic metres,USE,Use,SEC,Economic sector,E,"Water supply; sewerage, waste management and remediation activities",2010,,2945,,A,Normal value,6,Millions,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_WATER_PSUT@DF_WATER_PSUT(1.0),Water accounts - supply and use,I,AUS,Australia,A,Annual,SURFACE_GROUND,Surface and grounwater,M3,Cubic metres,USE,Use,SEC,Economic sector,E,"Water supply; sewerage, waste management and remediation activities",2011,,2773,,A,Normal value,6,Millions,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_WATER_PSUT@DF_WATER_PSUT(1.0),Water accounts - supply and use,I,AUS,Australia,A,Annual,SURFACE_GROUND,Surface and grounwater,M3,Cubic metres,USE,Use,SEC,Economic sector,E,"Water supply; sewerage, waste management and remediation activities",2012,,4251,,A,Normal value,6,Millions,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_WATER_PSUT@DF_WATER_PSUT(1.0),Water accounts - supply and use,I,AUS,Australia,A,Annual,SURFACE_GROUND,Surface and grounwater,M3,Cubic metres,USE,Use,SEC,Economic sector,E,"Water supply; sewerage, waste management and remediation activities",2013,,4775,,A,Normal value,6,Millions,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_WATER_PSUT@DF_WATER_PSUT(1.0),Water accounts - supply and use,I,AUS,Australia,A,Annual,SURFACE_GROUND,Surface and grounwater,M3,Cubic metres,USE,Use,SEC,Economic sector,E,"Water supply; sewerage, waste management and remediation activities",2014,,4793,,A,Normal value,6,Millions,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_WATER_PSUT@DF_WATER_PSUT(1.0),Water accounts - supply and use,I,AUS,Australia,A,Annual,SURFACE_GROUND,Surface and grounwater,M3,Cubic metres,USE,Use,SEC,Economic sector,E,"Water supply; sewerage, waste management and remediation activities",2015,,2862.1952893765,,A,Normal value,6,Millions,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_WATER_PSUT@DF_WATER_PSUT(1.0),Water accounts - supply and use,I,AUS,Australia,A,Annual,SURFACE_GROUND,Surface and grounwater,M3,Cubic metres,USE,Use,SEC,Economic sector,E,"Water supply; sewerage, waste management and remediation activities",2016,,2898.3854384598,,A,Normal value,6,Millions,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_WATER_PSUT@DF_WATER_PSUT(1.0),Water accounts - supply and use,I,AUS,Australia,A,Annual,SURFACE_GROUND,Surface and grounwater,M3,Cubic metres,USE,Use,SEC,Economic sector,E,"Water supply; sewerage, waste management and remediation activities",2017,,2861.5346485739,,A,Normal value,6,Millions,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_WATER_PSUT@DF_WATER_PSUT(1.0),Water accounts - supply and use,I,AUS,Australia,A,Annual,SURFACE_GROUND,Surface and grounwater,M3,Cubic metres,USE,Use,SEC,Economic sector,E,"Water supply; sewerage, waste management and remediation activities",2018,,2992.9218167208,,A,Normal value,6,Millions,2,Two
